Year,Slogan,Candidate,Party,Party2,Words,Words2,Words3,Words4,Win,Power,Win_Loss,Electoral_Votes,Slogan Source,Voter_Turnout,Federal_Government,FedState,Trade,FreePro,Civil_Rights,CivRig,Taxation,War_Expansion,War,Immigration,Labor rights,Party Platform / Issues,Notes
1932,We are turning the corner ,Herbert Hoover,Republican,1,,,,,,1,4,59,,0.526,Stronger,2,"Protectionist, option to revise",2,State choice in Prohibtion,1,Tax reform,Maintain at world parity,3,Keep restrictions,"Pro-union, Shorter work week","Hoover slowed the economic crisis; Continual anti-depression measures; wage cuts; National Credit Association, Reconstruction Finance Corporation loans to public institutions and private corporations; Federal Farm Board; national, state and local governments balance their budgets, curtail spending; international conference (monetary policies, commodity prices, trade problems); shorter work week; limit military production, disarmament; Cooperative agricultural organizations; interstate utilities and interstate commerce regulation; immigration quotas;",
1936,"Defeat the New Deal * Let's Make It a Landon-Slide * Life, Liberty, and Landon",Alfred M. Landon,Republican,1,,Reformist,,,,4,4,8,,0.569,Stronger,2,"Tariffs, promotion of international trade",3,Condemn new deal racial policies,1,"Endorse social security tax, reform fed/state tax",National security,2,No Opinion,"Pro-union, state laws","criticized the New Deal, threat to constitutional democracy; the powers of Congress, Supreme Court, undermined state control over their own affairs; non-political local agencies unemployment relief; reduce government spending; federal public works projects on merit only; balancing the budget; solvency of the currency; neutrality",
1936,Remember Hoover!,Franklin D. Roosevelt,Democrat,4,,,,,Y,1,1,523,,0.569,Strong,3,"Protectionist, but lowering of tariffs",3,,,No change,Neutrality,2,No Opinion,Pro-union,"Praised success of expanded federal public works to end unemployment;  stimulate private industry, resolve labor disputes, and oppose monopolies, anti-trust laws; Roosevelt agricultural policies doubled the net income of farmers, neutrality in foreign affairs  disputes; foreign trade expansion",
1940,Roosevelt for Ex-President * There's No Indispensable Man * We Want Willkie,Wendell L. Willkie,Republican,1,,Derogatory,,,,4,4,82,,0.588,Stronger,2,"Protectionist, facilitate international trade",3,"Equal rights for men and women, end racial discrimination in government",2,"Tax revision, Social security administered by states",Military preparedness,3,Strict enforcement,Pro-union,"Criticized extension of federal power taking away from free enterprise; approval of unemployment relief and social security programs, but under state control; opposition to United States involving the war ravaging Europe, far east; Constitution amendments to limit the president to two terms in office; equal rights for men and women.",
1940,Better A Third Termer than a Third Rater ,Franklin D. Roosevelt,Democrat,4,Better,Derogatory,,,Y,1,1,449,,0.588,Strong,3,"Protectionist, but lowering of tariffs",3,end racial discrimination in government,2,Expand Social Security,Military preparedness,3,,Pro-union,"Three sections; U.S. military preparedness and foreign policy; New Deal benefits for economic sectors, agricultural, labor and business; New Deal welfare measures; Adopted without a roll call",
1944,Don't swap horses midstream * We are going to win this war and the peace that follows,Franklin D. Roosevelt,Democrat,4,,Establishment,Peaceful,,Y,1,1,432,,0.561,Strong,3,"Protectionist, but lowering of tariffs",3,Amendment women's equal rights,2,Tax reform and cuts,UN / US military might,3,,Pro-union,"Unconditional surrender in the war in Europe, Pacific; end tyranny in the world; United Nations organization; acknowledged American military might as the best in the world; assistance for the transition to civilian life for ex-servicemen and women, disabled; unrestricted Jewish immigration to Palestine; establishment of a free and democratic Jewish state; self government in Alaska, Hawaii, and Puerto Rico; extend suffrage to the people of the District of Columbia",
1944,Dewey or Don't We?,Thomas E. Dewey,Republican,1,,,,Rhyming,,4,4,99,http://www.iagreetosee.com/portfolio/thomas-dewey-or-dont-we/,0.561,Strong,3,"Price supports, facilitate international trade",3,Amendment women's equal rights,2,Tax reform and cuts,UN / US military might,3,,"Anti-Union, free labor","Denounced the Democratic rule and centralization of power,    increasing deficit spending, failing private enterprise promotion; military strength and expansion until both Germany and Japan were defeated; postwar United Nations organization; Fair Employment Practice Commission; set agricultural products prices",
1948,"I'm just wild about Harry * Pour it on 'em, Harry! * Give Em Hell, Harry!",Harry S. Truman,Democrat,4,,,,,Y,1,1,303,,0.511,Strong,3,"International trade agreement support, price supports",2,Equal rights,2,"Tax relief to poor, opposed to sales tax, expand social security","Strengthen UN, National Security",2,,Pro-union,"Party leaders wanted a mild civil-rights platform plank in order not to completely alienate the Southern delegates and gain their support for Truman’s renomination. However, the Liberals led by Hubert Humphrey won a stronger Civil Rights plank: “racial and religious minorities must have the right to live, the right to work, the right to vote, the full and equal protection of the laws on a basis of equality with all citizens as guaranteed by the Constitution.”",
1948,Get your ass off the grass * Dewey Gets Things Done * Truman for Ex-President,Thomas E. Dewey,Republican,1,,Derogatory,,Rhyming,,4,4,189,"https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1948-overview/, http://politicalmemorabilia.com/political-item/election-of-1948-thomas-dewey-get-your-off-the-grassother-puns-buttons/",0.511,Stronger,2,"Price supports, facilitate international trade",3,equal rights,2,"Tax reform, focus on local",Strengthen National Security,3,,"Anti-union, worker and employer rights equal","bipartisan foreign policy platform: strengthening of the United Nations, the unity of Western Europe; recognition of Israel, pledged friendship with China; domestic plank: public debt reduction; opposed racial segregation (armed services); legislation to end lynching; abolition of the poll tax; pledged “vigorous enforcement of existing laws against Communists,” equal rights for women constitutional amendment; “eventual statehood for Hawaii, Alaska and Puerto Rico, and self-government for the District of Columbia.”",
1948,Segregation Forever!,Strom Thurmond,States' Rights Democrat,2.5,,,,,,4,4,39,http://www.u-s-history.com/pages/h1751.html,0.511,State rights,1,,2.5,Segregation of races,1,,,,,,"Segregation, Weak central government, strong state rights, constitutionalist, against regulation, against police nation, strict seperation of powers, against civil rights ""overreaching federal power""",
1952,I like Ike * Ike: For Prosperity Without War,Dwight D. Eisenhower,Republican,1,Prosperous,,Peaceful,Rhyming,Y,4,1,442,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1952-overview/,0.616,Stronger,2,"Free trade, Expansion of world trade",3,"Federal Anti-lynching, appropriate action to end segregation",2,"Reform, focus on states","Opposed to war, Wage peace, military preparedness",1,,Retain taft-hartley,"Condemned the Roosevelt and Truman administrations; emd the war in Korea, end “communist subversion”; support for the Taft-Hartley Act, restricted activities of labor unions",
1952,All the Way With Adlai * Go Forward with Stevenson-Sparkman,Adlai Stevenson,Democrat,4,Enlisting,,,Rhyming,,1,4,89,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1952-overview/,0.616,Strong,3,"Expanding world trade, price supports",2,Eradicate discrimination,2,"Graduated income tax, oppose sales tax","Defend war in Korea, strong national defense",4,"immigration reform, no distiction between naturalized and native-born",Repeal taft-hartley,Continuing agricultural price supports; repeal of the Taft-Hartley Act; eradication of discrimination; Convention speeches vigorously defended the Korean War.,
1956,I still like Ike * Peace and Prosperity ,Dwight D. Eisenhower,Republican,1,Prosperous,Establishment,Peaceful,Rhyming,Y,1,1,457,,0.593,Stronger,2,"Free trade, price supports",3,End employement discrimination,2,Reduce taxes,Powerful military,3,"Immigration reform, extension of refugee relief act","Free labor, minimum wage, revise taft-hartley","Criticized reduction of the U.S. armed forces; end the peace time draft stronger leadership; defense relationships with U.S. allies; hydrogen bombs test ban treaty/agreement with the Soviet Union (H-bombs spread contamination over thousands of miles); Cyprus, French forces in North Africa, Israeli-Palestinian relations, anti-Americanism in Asia; economic growth rate less than previous Democratic administrations",
1956,Adlai and Estes - The Bestest * The Winning Team,Adlai Stevenson,Democrat,4,,,,Rhyming,,4,4,73,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1956-overview/,0.593,Strong,3,"Expanding trade, support Hull Reciprocal",2,Support supreme court decisions,2,Graduated income tax,"UN, national defense, oppose atomic world war",2,Immigratiion quota reform,"Repeal taft-hartley, higher minimum wage","declarations of faith; economy, both urban and rural, human welfare, federal government integrity, civil rights, immigration, human freedom and peace, national defense, veterans aid, national defense, conservation of natural resources, atomic energy; opposed Stevenson proposals on the draft and H-bombs, as a general Eisenhower was considered the expert of military issues",
1960,A time for greatness 1960 * We Can Do Better * For America's Greatness,John F. Kennedy,Democrat,4,Better,,,,Y,4,1,303,,0.628,"Strong, increased executive powers?",3,"Expanding trade, assistance to affected industries",2,Enforce civil right laws,2,Close loopholes in tax code,"Strong national security, disarmament, strong UN",3,Immigration reform to eliminate discrimination,"Labor law reform, raise minimum wage","Longest platform ever written; national defense, disarmament, civil rights, immigration, foreign aid, the economy, labor and tax reform",
1960,"Nixon-Lodge: They Understand What Peace Demands * Peace, Experience, Prosperity",Richard Nixon,Republican,1,Prosperous,,Peaceful,,,1,4,219,,0.628,Strong,3,"Free trade, reduction of barriers",3,Support supreme court decisions,2,Tax reform,Military strengthening,3,"Immigration reform to eliminate discrimination, double amount of immigrants",Administration of taft-hartley,"Strong national defense; enforcement of civil rights laws, right to vote, nuclear test ban agreement",
1964,"All the way with LBJ * In Your Guts, You Know He's Nuts ",Lyndon B. Johnson,Democrat,4,Enlisting,Derogatory,,Rhyming,Y,1,1,486,,0.614,Strong,3,"Free trade, reduction of barriers",3,Enforce civil rights acts,2,Tax reduction & reform,"Strong UN, national security",2,Immigration reform to eliminate discrimination,"Fair Labor Standards Act, increased minimum wage, repeal taft-hartley","moderate tone, condemned right and left extremism; praised Kennedy-Johnson administration accomplishments",
1964,"In Your Heart, You Know He's Right * A Choice, not an Echo",Barry Goldwater,Republican,1,,,,,,4,4,52,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1964-overview/,0.614,Stronger,2,Free trade,4,Enforce civil rights acts,2,"Tax credits, repeal bread-tax","UN reform, NATO support, US military superiority",3,Continue fair share refugee program,"completely reorganize the National Labor Relations Board to assure impartial protection of the rights of the public, employees and employers",strong stance against Communist regimes; smaller federal government role; individual rights,
1968,"Some People Talk Change, Others Cause It * Unite with Humphrey",Hubert Humphrey,Democrat,4,Enlisting,Reformist,,,,1,4,191,,0.608,Strong,3,"Expanded trade negotiations, resist protectionism",3,Enforce civil rights acts,2,"Graduated taxes, Taxes as monetary policy","Expand UN, national security",2,No change,"Update and Extention of National Labor Relations Act, increase minimum wage","Great Society continuation, expansion social welfare programs; crime, gun control, housing, welfare reform “War on Poverty”; civil rights and civil liberties; foreign policy, constrained opposition to the Vietnam War;",
1968,"This time, vote like your whole world depended on it * Nixon's the One",Richard Nixon,Republican,1,,,,,Y,4,1,301,,0.608,Stronger,2,"Free trade, eliminate barriers",3,Less judicial overreach,1,Reduce taxes,"End war, Military strengthening",3,Immigration reform to eliminate discrimination,"Support taft-hartley, minimum wage not too high for employers","End “crisis in the cities” “law and order”, honorable negotiated peace. “a fair and equitable settlement” of the war in Vietnam; “progressive de-Americanization” Vietnamization of the Vietnam War opposition to busing a means to desegregation; Supreme Court justices who take an less active role in policy creation (reference to civil rights/liberties); slow Democratic/Great Society social programs; reduced taxes; end the draft ",
1968,Stand up for America,George Wallace,Independent,2.5,,,,,,4,4,46,http://thumbs3.ebaystatic.com/d/l225/m/mpTWYGT-NXlr8lvgCD-6wJg.jpg,0.608,State rights,1,"Free trade, price supports",3,Repeal civil rights,1,Reduce taxes,Military strengthening,3,No Opinion,Eliminate programs to harass business community,"State rights, repeal civil rights acts, judiciary elections, anti-regulation, restore social security, increase medicare, public-private partnerships, agriculture subsidies, non-free trade",
1972,"Nixon Now * Nixon Now, More than Ever",Richard Nixon,Republican,1,,,,,Y,1,1,520,,0.552,Strong,3,"Free trade, internal supports for certain industries",2,"Women's rights, Federal enforcement of equal opportunity laws",2,"Tax reform, property tax relief, reform estate tax, reform welfare","end war, military strengthening",3,"Enforce current policy, halt illegal ","pro-union, endorse open shop","ending Vietnam War; democratic government in the south; opposed granting amnesty draft dodgers; accused Democrats of wanted to raise taxes of the rich, lead to middle class taxes; health care reform",
1972,Make America Happen Again * Come Home America,George McGovern,Democrat,4,,,Nostalgic,,,4,4,17,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1972-overview/,0.552,Strong,3,"Free trade, price supports, internal supports for industry/worker",2,Equal right amendment,2,"Close loopholes in tax code, welfare replacement, graduated tax program","end war, reduce military spending, abolish draft",1,Promote better relations with Mexico to slow illegal,"Repeal open shop and ban on picketing, increase minimum wage",Peace Platform; ending the Vietnam War; unconditional withdrawal of U.S. forces; welfare system overhaul guaranteed incomes for the poor; handgun legislation; ban Saturday night specials; Equal Rights Amendment;  elimination of the electoral college,
1972,Break free from Big Brother!,John Hospers,Libertarian,2.5,,,,,,4,4,1,http://lpnh.org/sites/default/files/images/hospers-poster.jpg,0.552,State rights,1,Free trade,4,Freedom of Speech,1,"Reduce taxes, minimal","Oppose draft, national security",2,,Repeal national labor relations act,"Individual rights, Freedom of speech, right to property, government limited to enforcing these rights, free markets, no taxation",
1976,He's making us proud again * Let's Make America Great Again,Gerald Ford,Republican,1,,,Nostalgic,,,1,4,240,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1976-overview/,0.535,Strong,3,"Free trade, remove barriers, oppose restrictions",3,"Equal right amendment, right of unborn child",2,"Tax reform and reduction, welfare reform",Military strengthening,3,,Endorse taft-hartley,"Ratification of the Equal Rights Amendment; foreign policy, secret agreements banned; federalizing the welfare system opposition",
1976,"Not Just Peanuts * A Leader, For a Change * Carter-Mondale: Keep them Working For You",Jimmy Carter,Democrat,4,,Reformist,,,Y,4,1,297,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1976-overview/,0.535,Strong,3,"Trade policies which benefit american workers, market economy insufficient",2,"Equal right amendment, affirmative action",2,"Graduated income tax, reduce tax shelters",Reduce military spending,1,Support citizenship for undocumented immigrants,Repeal open shop and ban on picketing," Noncontroversial platform; wide-raging Democratic goals; comprehensive national health insurance system with universal and mandatory coverage, welfare reform, the environment, energy conservation, new energy sources; ratification of the Equal Rights Amendment",
1980,Are You Better Off Than You Were Four Years Ago? * Let's Make America Great Again ,Ronald Reagan,Republican,1,Better,,Nostalgic,,Y,4,1,489,,0.528,State rights in civil rights issues,2,"Free trade, elimiinate all barriers, tariffs, supports",4,"No Equal rights endorsement, protect life of unborn child",2,"Lower taxes, return welfare to states",Military strengthening,3,"Tighten immigration policy, End all aid to undocumented immigrants",Endorse taft-hartley,"“make American great again.” restoration of the nation’s military strength; national security; defense spending increase; supply-side economic policy; balanced budget within three years (“the beginning of the end of inflation”); 30% reduction; lower taxes; repeal the “Windfall Profit Tax”; welfare rolls; the Republican Party dropped their endorsement of ERA Equal Rights Amendment after 40 years of support; dedication to women’s rights, appoint a women to cabinet, first female justice to the Supreme Court;",
1980,Carter-Mondale: Keep them Working For You,Jimmy Carter,Democrat,4,,Establishment,,,,1,4,49,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1980-overview/,0.528,Strong,3,Trade policies which benefit american workers,2,"Equal right amendment, women's right to choose",2,"Tax reduction, simplified tax code, welfare expansion",Military strengthening,3,"Reform, Refugee Act of 1980",Labor law reform to permit better enforcement,"No “grand plan”; Inclusion of Kennedy proposals on wage and price controls; Supported the Equal Rights Amendment; Criticized Reagan’s economic plan, but did not present an alternative",
1984,Morning Again in America * Bringing America Back * America is Too Great For Small Dreams,Ronald Reagan,Republican,1,,,Nostalgic,,Y,1,1,525,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1984-overview/,0.533,State rights in civil rights issues,2,"Free trade, reduce barriers",3,Fifty states project to identify state laws discriminating against women,1,Lower taxes,"Leave UNESCO, military strength, arms control agreements",2,"Tighten immigration policy, Reforms too end illegal immigration",Endorse taft-hartley,"Emphasis on improved economy as opposed to Carter-Mondale Administration’s economy; ignored deficit, deflected claims of being a hawk by calling for arms controls negotiations with the Soviet Union; Candidate of peace, prosperity, and piety.",
1984,America Needs New Leadership * For the Family of America * America Needs a Change,Walter Mondale,Democrat,4,,Reformist,,,,4,4,13,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1984-overview/,0.533,Strong,3,"Fair trade, Export-Import Bank, trade law to protect certain industries",2,Equal right amendment,2,"Tax simplification, eliminate loopholes",Reduce military spending,1,,Pro-union,"Sharp critical rhetoric of Reagan and his policies; Reagan’s hawkiness, economy, growing deficit, division of Church and state; even calls for a tax increase did not capture voters attention, backfired; only questioning Reagan’s age became an issue",
1988,"Kinder, Gentler Nation * Thousand Points of Light",George H. W. Bush,Republican,1,,,,,Y,1,1,426,,0.502,Stronger,2,"Free trade, eliminate barriers",4,"Repeal affirmative action, rights of unborn child",2,"Oppose sales tax, minimal tax","Military strength, Forward leaning posture, arms reduction, NATO",3,Border control absolute right,State right-to-work laws,"military strength, diplomatic resoluteness, free enterprise, free markets, and limited government, cut tax rates, loosen regulation, free the private sector, public/private partnership, defederalize, denationalize, and decentralize government monopolies, Republicans will advance trade through strength. We will not accept the loss of American jobs to nationalized, subsidized, protected foreign industries and will continue to negotiate assertively the destruction of trade barriers",
1988,It's Time to Say YES,Michael Dukakis,Democrat,4,Affirmative,,,,,4,4,111,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1988-overview/,0.502,Strong,3,Fair trade,3,"Equal right amendment, women's choice",2,No Opinion,"Military strength, readiness and mobility instead of weapons",3,immigration reform,Indexed minimum wage,"indexed minimum wage, with training and employment programs—including child care and health care—that can help people move from welfare to work, with portable pensions, Social Security System safeguarded against emasculation and privatization, better manage our trade in order to export more American goods and fewer American jobs, increasing federal funding for education, war on drugs, immigration reform, investment in infrastructure",
1992,"It's Time to Change America * Putting People First * It's the Economy, Stupid",Bill Clinton,Democrat,4,Populist,Reformist,,,Y,4,1,370,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1992-overview/,0.552,Strong,3,"Fair trade, NAFTA",3,"Equal right amendment, affirmative action, women's choice",2,"Graduated tax, Investment tax credit, EITC",Reduce military spending,1,Immigration reform to eliminate discrimination,Pro-union,"New centrist philosophy, economic growth, military force overseas when necessary, two years limit in welfare benefits, states right to enact death penalty statutes",
1992,Stand by the President 1992 * Let's Re-Elect our Desert Storm Commander in Chief in '92,George H. W. Bush,Republican,1,Heroic,Establishment,,,,1,4,168,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1992-overview/,0.552,Stronger,2,"Free trade, eliminate all barriers, NAFTA",4,"Oppose same-sex marriage, rights of unborn child, oppose affirmative action",2,No increase in taxes,Military strengthening,3,Eliminate illegal immigration,State right-to-work laws,"Opposed increasing taxes, strengthening families, parental choice in school choice",
1996,Building a bridge to the twenty-first century ,Bill Clinton,Democrat,4,,,,,Y,1,1,379,,0.49,Stronger,2,"Free trade, NAFTA, lower barriers",3,Women's right to choose,2,EITC,Military strengthening,3,"Streamline immigration, stop illegal immigration",Oppose right-to-work laws,ending deficit spending; balancing the federal budget; maintain Social Security and Medicare. national standards for primary and secondary schools; welfare; reduce those in need of public funds; protection of the National Parks; offshore drilling opposition,
1996,The Better Man for a Better America,Bob Dole,Republican,1,Better,,,,,4,4,159,https://presidentialcampaignselectionsreference.wordpress.com/overviews/20th-century/1996-overview/,0.49,Stronger,2,"Free and fair trade, NAFTA",3,"Religious rights, Defence of marriage act, Right of unborn child",2,"Tax cuts, marginal and capital gains",Military strengthening,3,"Reform, Eliminate illegal immigration",TEAM act,"strictly conservative; abortion plank (part of debate the week prior to the convention) the rights of the unborn prevailed; “tax relief, balancing the budget, improving education, affordable health care, regulatory reform, rejecting statehood for the District of Columbia,” English as the nation’s language",
2000,Leadership for the New Millennium * Prosperity and Progress,Al Gore,Democrat,4,Prosperous,,,,,1,4,266,,0.504,Strong,3,Fair trade,3,"Equal rights amendment, Women's right to choose, end racial profiling, hate crime law, same-sex rights",2,EITC,"Military strength, diplomacy",2,"Reform immigration, reduce backlog, reduce illegal immigration",Enhance labor laws to protect worker,"“Fiscal discipline, education, health care, campaign finance reform, woman’s right to choose abortion; strengthening Medicare, fighting crime, transforming the military, valuing families",
2000,Compassionate Conservatism * Prosperity with a Purpose * Reformer with Results,George W. Bush,Republican,1,Prosperous,Reformist,,,Y,4,1,271,https://presidentialcampaignselectionsreference.wordpress.com/overviews/21st-century/2000-overview/,0.504,Stronger,2,"Free and fair trade, Presidential powers",3,"Oppose same-sex marriage, rights of unborn child, oppose affirmative action, oppose homosexuals in military",2,"Reduce taxes, double child credit",Military strengthening,3,Stengthen borders,Support right-to-work laws,“Compassionate conservatism”; use of budget surplus through tax cuts; benefit all taxpayers; opposition to gays in the military,
2004,"A More Hopeful America * Yes, America Can! * Steady leadership in times of change",George W. Bush,Republican,1,Affirmative,Reformist,,,Y,1,1,286,,0.557,Stronger,2,"Free and fair trade, eliminate barriers",3,"Defense of marriage act, unborn child rights, oppose homosexuals in military, oppose affirmative action",2,"Reduce taxes, tax reform","Military strengthening, diplomacy second, no negotiations",3,"Strengthen borders, eliminated illegal immigration",Support right-to-work laws,"Ideological conservatism; war on terrorism; national security, ownership society; constitutional amendments that guarantee that “unborn child has a fundamental individual right to life,” and define marriage between and a man a women",
2004,A Stronger America * Let America Be America Again * America deserves better,John Kerry,Democrat,4,Better,,Nostalgic,,,4,4,251,,0.557,Stronger,2,"Free and fair trade, trade agreement with labor standards",2,"Women's right to choose, marriage at state level",2,"Cut taxes, Tax incentives for US business",Military strengthening,3,"Strengthen borders, naturalization for illegal immigrants","Pro-union, overtime",Energy independence; environmental protection; military strengthening; homeland security,
2008,Change We Can Believe In * Change * Yes We Can * Hope,Barack Obama,Democrat,4,Affirmative,Reformist,,,Y,4,1,365,,0.571,Strong,3,Fair trade,3,"Equal rights amendment, Women's right to choose, oppose DOMA",2,"Tax cut to middle class, remove loopholes for corporations","End war, military strengthening",3,"Immigration reform, naturalization for illegal immigrants","Employee free choice act, overtime, increase minimum wage","Redeployment of American troops serving in Iraq, a woman’s right to choose, “tough and practical” immigration reform, health care reform and access; alternative energy technologies. Fight global warming, amending NAFTA (North American Free Trade Agreement); expansion AmeriCorps and Peace Corps programs",
2008,"Country First * Reform, Prosperity and Peace",John McCain,Republican,1,Prosperous,Reformist,Peaceful,,,1,4,173,,0.571,Stronger,2,Fair trade,3,"Defense of marriage act, unborn child rights, oppose homosexuals in military, oppose affirmative action",2,Reduce personal and corporate tax,Military strengthening,3,"Border control, deportation, oppose naturalization",Endorse right to work laws,"Increase intelligence gathering capabilities to combat terrorism and for national security; Armed Forces support (economic opportunities and health and disability care for veterans); opposition to amnesty for illegal immigrants; English as the official language; United Nations reform; tax relief (economic growth, promote small business); government reform (balanced budget act, ending earmarks in legislation)  nuclear energy (off-shore; on-shore drilling; alternative energy resources; international cooperation to solve global warming)",
2012,Forward ,Barack Obama,Democrat,4,,,,,Y,1,1,332,,0.549,Strong,3,Fair trade,3,"Equal right amendment, Non-discrimination act, women's right to choose, repeal DOMA",2,Tax cuts to workers and businesses,"End war, reduce military spending",1,"Immigration reform, naturalization for illegal immigrants, DREAM","Pro-union, oppose right to work, raise minimum wage",,
2012,Believe in America * Obama Isn't Working * Restore Our Future,Mitt Romney,Republican,1,,Derogatory,Nostalgic,,,4,4,206,,0.549,Stronger,2,Fair trade,3,"Defense of marriage act, unborn child rights, oppose affirmative action",2,"Tax cuts, personal, capital gains",Military strengthening,3,"Border control, deportation, oppose naturalization",Endorse right to work laws,,
2016,Make America Great Again! * Can't Stump the Trump,Donald Trump,Republican,1,,,Nostalgic,Rhyming,,4,2.5,1,,0,,3,,1,,,,,,,,,
2016,Hillary For America * Fighting for us * I'm With Her,Hillary Clinton,Democrat,4,Enlisting,,,,,1,2.5,1,,0,,3,,3,,,,,,,,,
